ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,
70,下り,さがり,तल,दोहोरो,तल,फोकस गर्नुहोस्,तल,電車に乗って坂を下ります。,ट्रेनमा चढ्नुहोस् र पहाडबाट तल जानुहोस्।,ネパール語,N3
71,停止,ていし,रोक,आश्चर्य,रोक,गति,रोक,速度を守って走ろう.,गति कायम राख्दै ड्राइभ गरौं।,ネパール語,N3
72,やる,やる,दिने,दिनुभयो,दिने,राम्रो,दिने,買ったばかりのバックを妹にやった.,मैले भर्खरै किनेको झोला बहिनीलाई दिएँ।,ネパール語,N3
73,味方,みかた,समर्थक,समर्थक,सुपर,चिनी,समर्थक,私はいつもあなたの味方です.,म सधैं तिम्रो पक्षमा छु।,ネパール語,N3
74,我々,われわれ,हामी,हामी,हुनेछ,संग,हामी,これがわれわれの意見です.,यो हाम्रो धारणा हो।,ネパール語,N3
75,悪口,わるぐち,गाली भाषा,जमिन,गाली भाषा,अन्तिम,गाली भाषा,人の悪口を言うのはどうやめよう.,मानिसहरूको बारेमा नराम्रो कुराहरू कसरी रोक्ने।,ネパール語,N3
76,老人,ろうじん,ज्येष्ठ नागरिक,सायद,उत्तम,ज्येष्ठ नागरिक,ज्येष्ठ नागरिक,"ボウリングは,老人も好きなスポーツだ.",बलिङ्ग एउटा यस्तो खेल हो जुन बुढापाकालाई पनि मन पर्छ ।,ネパール語,N3
77,幼児,ようじ,बच्चा,आज,बच्चा,टोर्नाडो,बच्चा,"この教室は,幼児が英語を勉強している.",यस कक्षाकोठामा साना केटाकेटीहरूले अंग्रेजी पढिरहेका छन्।,ネパール語,N3
78,出身,しゅっしん,गृहनगर,गृहकार्य,आशा छ,गृहनगर,गृहनगर,私のしゅっしんはネパールだ.,मेरो घर नेपाल हो।,ネパール語,N3
79,育ち,そだち,वृद्धि,हरियो,महान,वृद्धि,वृद्धि,"私は田舎で生まれ,町で育だちた.",गाउँमा जन्मेको र सहरमा हुर्केको छु ।,ネパール語,N3
80,行儀,ぎょうぎ,व्यवहार,पछाडि,किनभने,व्यवहार,व्यवहार,"あの子は,とても行儀がいい.",त्यो बच्चा धेरै राम्रो व्यवहार छ।,ネパール語,N3
81,本日,ほんじつ,आज,भोलि,प्रयास गर्दै,आज,आज,"本日はお忙しいところ,ありがとうございます.",आजको समयको लागि धन्यवाद।,ネパール語,N3
82,明日,あす,भोलि,शौचालय,प्रयास गर्दै,भोलि,भोलि,明日の3時にそちらに伺います.,म भोलि ३ बजे भेट्न आउनेछु।,ネパール語,N3
83,前日,せんじつ,अघिल्लो दिन,दबाब,सुन्दर,अघिल्लो दिन,अघिल्लो दिन,会議の前日に準備をする.,बैठकको अघिल्लो दिन तयारी गर्नुहोस्।,ネパール語,N3
84,翌日,よくじつ,अर्को दिन,दिनको उज्यालो,दैनिक,अर्को दिन,अर्को दिन,"誕生日の翌日に,韓国に出張した.","मेरो जन्मदिनको भोलिपल्ट, म कोरियाको व्यापार यात्रामा गएँ।",ネパール語,N3
85,上旬,じょうじゅん,महिनाको पहिलो हप्ता,पैसा,बिहान,महिनाको पहिलो हप्ता,महिनाको पहिलो हप्ता,"来月の上旬,タイに旅行に行きます.",म अर्को महिनाको सुरुमा थाइल्याण्डको यात्रामा जाँदैछु।,ネパール語,N3
86,少々,しょうしょう,थोरै,थोरै,फोहोर,पछि,थोरै,塩とこしょうをしょうしょういれます.,नमक र काली मिर्च संग सिजन।,ネパール語,N3
87,煮る,にる,खाना पकाउनु,आउनुहोस्,कोक,खाना पकाउनु,खाना पकाउनु,"なべにふたをして,30分煮てください.",बर्तन छोप्नुहोस् र 30 मिनेटको लागि उबाल्नुहोस्।,ネパール語,N3
88,揚げる,あげる,फ्राइ गर्न,बाट,नि:शुल्क,फ्राइ गर्न,फ्राइ गर्न,180度の油でしっかり揚げます.,180 डिग्रीमा तेलमा गहिरो फ्राइ गर्नुहोस्।,ネパール語,N3
89,塗る,ぬる,फैलाउन,माफ गर्नुहोस्,फैलाउन,सिरिङ,फैलाउन,パンにバターを塗ります.,रोटीमा मक्खन फैलाउनुहोस्।,ネパール語,N3
90,相手,あいて,साथी,पार्क,रोक,साथी,साथी,自分のことだけでなく、相手のことも考えよう。,"आफ्नो बारेमा मात्र होइन, अर्को व्यक्तिको बारेमा पनि सोच्नुहोस्।",ネパール語,N3
91,助ける,たすける,मद्दत,मद्दत,घर,आदर्श,मद्दत,駅で困っている人を助けた。,स्टेशनमा समस्यामा परेका मानिसहरूलाई मद्दत गरे।,ネパール語,N3
92,助かる,たすかる,मद्दत गर्नु,जागिर,मद्दत गर्नु,बोल्नु,मद्दत गर्नु,友達がレポートをチェックしてくれたので、助かった。,"मेरो साथीले मेरो रिपोर्ट जाँच गर्यो, जसले मलाई धेरै मद्दत गर्यो।",ネパール語,N3
93,支える,ささえる,समर्थन,समर्थन,स्पेस,राजधानी,समर्थन,国の両親が、いつも私を支えてくれる。,मेरो देशमा मेरा आमाबाबुले मलाई सधैं समर्थन गर्नुहुन्छ।,ネパール語,N3
94,誘う,さそう,आमन्त्रण,खर्च,आमन्त्रण,फोहोर,आमन्त्रण,見たい映画があるので、友達をさそった。,"त्यहाँ एउटा चलचित्र हेर्न मन लाग्यो, त्यसैले मैले मेरो साथीलाई सोधें।",ネパール語,N3
95,待ち合わせる,まちあわせる,भेट्नु,भुक्तानी गर्नु,राम्रो,भेट्नु,भेट्नु,駅前のカフェで、友達と待ち合わせた。,मैले एक साथीसँग स्टेशन अगाडिको क्याफेमा भेटें।,ネパール語,N3
96,交換（する）,こうかん,साट्नु,साट्नु,चिनी,व्यवहार,साट्नु,仕事の相手と、メールアドレスを交換した。,मैले मेरो कार्य साझेदारसँग इमेल ठेगानाहरू साटासाट गरें।,ネパール語,N3
97,交流（する）,こうりゅう,वैकल्पिक वर्तमान,बिरामी,वैकल्पिक वर्तमान,आज,वैकल्पिक वर्तमान,いろいろな国の人たちと交流したい。,म विभिन्न देशका मानिसहरूसँग अन्तरक्रिया गर्न चाहन्छु।,ネパール語,N3
98,断る,ととわる,रोक्नको लागि,चित्र,साथी,रोक्नको लागि,रोक्नको लागि,あの友達にデートに誘われたが、断った。,"त्यो साथीले मलाई डेटमा बाहिर सोधे, तर मैले अस्वीकार गरें।",ネパール語,N3
99,預ける,あずける,सहभागी हुनुहोस्,तल,सहभागी हुनुहोस्,वस्तु,सहभागी हुनुहोस्,旅行の間、友達にペットを預けた。,यात्रा गर्दा मैले मेरो घरपालुवा जनावरलाई साथीसँग छोडें।,ネパール語,N3
100,預かる,あずかる,सहभागी हुनुहोस्,रोक,वास्तविक,सहभागी हुनुहोस्,सहभागी हुनुहोस्,友達の旅行の間、彼女のペットを預かった。,मैले मेरो साथीको घरपालुवा जनावरको हेरचाह गरें जब उनी यात्रामा थिए।,ネパール語,N3
101, 表面,ひょうめん,सतह,बाँच्न,सतह,प्रणाली,सतह,この　果物の表面は固いが、中は柔らかい。,"यस फलको सतह कडा हुन्छ, तर भित्री भाग नरम हुन्छ।",ネパール語,N3
102,現代,げんだい,आधुनिक युग,सांस्कृतिक,आधुनिक युग,महान,आधुनिक युग,現代の社会には、いろいろな問題がある。,आधुनिक समाजमा धेरै समस्याहरू छन्।,ネパール語,N3
103,現実,げんじつ,वास्तविकता,वास्तविक,नक्कली,र्‍याम्प,वास्तविकता,現実はきびしいが、前に進んでいこう。,"वास्तविकता कठोर छ, तर अगाडि बढौं।",ネパール語,N3
104,利息,りそく,आदर्श,मुद्दाहरू,आदर्श,प्रभाव,आदर्श,利息と現実のあいだで悩むことがある。,कहिलेकाहीँ चासो र वास्तविकता बीचको भिन्नताको बारेमा चिन्ता गर्छु।,ネパール語,N3
105,語る,かたる,बोल्नु,कुरा गर्न,सिक्नु,बोल्नु,बोल्नु,政治家が平和について語った。,राजनीतिज्ञहरूले शान्तिको कुरा गरे।,ネパール語,N3
106,首都,しゅと,राजधानी,राजधानी,सहर,वस्तु,राजधानी,スイスの首都で、大きな会議が開かれる。,स्वीस राजधानीमा ठूलो सम्मेलन हुने भएको छ ।,ネパール語,N3
107,態度,たいど,मनोवृत्ति,वस्तु,मनोवृत्ति,सीमा,मनोवृत्ति,相手の態度で、こちらの態度を変える。,अर्को व्यक्तिको मनोवृत्तिको आधारमा आफ्नो मनोवृत्ति परिवर्तन गर्नुहोस्।,ネパール語,N3
108,結論,けつろん,निष्कर्ष,साट्नु,निष्कर्ष,महान,निष्कर्ष,話し合いの結論は、明日わかるそうだ。,वार्ताको निष्कर्ष भोलि थाहा हुनेछ ।,ネパール語,N3
109,名字,みょうじ,थर,थर,थाप्न ,थाती ,थर,彼の苗字は、とても珍しい。,उनको अन्तिम नाम धेरै दुर्लभ छ।,ネパール語,N3
110,生別,せいべつ,लिङ्ग,लिनु ,लित्त ,लिङ्ग,लिङ्ग,名前を書いて、性別に⭕️をしてくだい。,कृपया आफ्नो नाम लेख्नुहोस् र ⭕️ आफ्नो लिङ्ग चिन्ह लगाउनुहोस्।,ネパール語,N3
111,年齢,ねんれい,उमेर,उमेर,उम्मेदवार ,उभिन ,उमेर,女性に年齢をきい。,महिलाहरूलाई उनीहरूको उमेर सोध्नुहोस्।,ネパール語,N3
112,高齢,こうれい,बुढ्यौली,बुद्धिमान ,बुढ्यौली,बुद्ध ,बुढ्यौली,日本には、高齢で元気は人が多い。,जापानमा धेरै वृद्ध र ऊर्जावान व्यक्तिहरू छन्।,ネパール語,N3
113,アドレス,アドレス,ठेगाना,ठेगाना,ठेकेदार ,ठेक्का ,ठेगाना,アドレスは名刺に書いてある。,व्यापार कार्डमा ठेगाना लेखिएको छ।,ネパール語,N3
114,本人,ほんにん,व्यक्ति स्वयम्,वेवास्ता ,व्यवहारिक ,व्यक्ति स्वयम्,व्यक्ति स्वयम्,あなたが本人か、確認させsてください。,कृपया पुष्टि गर्नुहोस् कि तपाईं जो हुनुहुन्छ भन्नुहुन्छ।,ネパール語,N3
115,独身,どくしん,एकल,एकपछि ,एकल,एकाध ,एकल,彼は独身だが、結婚したいと言っていた。,उनी अविवाहित थिए तर आफू विवाह गर्न चाहन्थे ।,ネパール語,N3
116,主婦,しゅふ,गृहिणी,गृहिणी,गृहकार्य ,ग्राहक ,गृहिणी,姉は主婦だが、仕事もしている。,"मेरी बहिनी गृहिणी हुनुहुन्छ, तर उनी पनि काम गर्छिन्।",ネパール語,N3
117,フリーター,フリーター,फ्रीटर,फ्रान्सेली ,फ्रीटर,फ्रिज ,फ्रीटर,弟は大学を卒業してからずっとフリーターだ。,मेरो कान्छो भाइले विश्वविद्यालयबाट स्नातक गरेदेखि नै अंशकालिक कामदार भएको छ।,ネパール語,N3
118,無職,むしょく,बेरोजगार,बेरुजु ,बेवारिसे ,बेरोजगार,बेरोजगार,無職だが、来月から働く。,"म बेरोजगार छु, तर म अर्को महिना काम सुरु गर्नेछु।",ネパール語,N3
119,昨日,さくじつ,हिजो,हिँडडुल ,हिजो,हिस्सा ,हिजो,昨日は、いろいろとお世話になりました。,हिजो तपाईंको सबै सहयोगको लागि धन्यवाद।,ネパール語,N3
120,昨年,さくねん,गत वर्ष,गत वर्ष,अर्का बर्स,यो बर्स,गत वर्ष,昨年の5月に日本にまいりました。,म गत वर्षको मे महिनामा जापान आएको थिएँ ।,ネパール語,N3
121,先日,せんじつ,अर्को दिन,यो दिन,अर्को दिन,पछिल्लो दिन,अर्को दिन,先日は、どうもありがとうございました。,अर्को दिनको लागि धेरै धेरै धन्यवाद।,ネパール語,N3
122,蒸す,むす,भाप(steam),भाप(steam),भगिनी ,भद्रगोल ,भाप(steam),電子レンジで、野菜を蒸します。,माइक्रोवेवमा भाप तरकारीहरू।,ネパール語,N3
123,くるむ,くるむ,बेर्नु,बेरोजगार ,बेर्न ,बेर्नु,बेर्नु,桜の葉で、材料をくるみます。,चेरी ब्लोसम पातहरूमा अवयवहरू लपेट्नुहोस्।,ネパール語,N3
124,にぎる,にぎる,निचोर्नु,नितान्त ,निचोर्नु,निभाउन ,निचोर्नु,ご飯に梅干しを入れて、にぎります。,चावलमा उमेबोशी थप्नुहोस् र हलचल गर्नुहोस्।,ネパール語,N3
125,熱する,ねつする,झूट बनाउनुहोस्,झूट बनाउनुहोस्,झुक्याएर ,झगडा ,झूट बनाउनुहोस्,フライパンで、5分ぐらい熱してください。,यसलाई फ्राइङ प्यानमा लगभग 5 मिनेटको लागि तताउनुहोस्।,ネパール語,N3
126,税込,ぜいこみ,विलासिता,विलासी ,विलासिता,बाचा ,विलासिता,この値段は税込ですか。,के यो मूल्यमा कर समावेश छ?,ネパール語,N3
