ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
14,順位,じゅんい,रैंकिंग,अनियमित,रैंकिंग,साँच्चै,रैंकिंग,去年より上の順位を目指したい,म गत वर्ष भन्दा उच्च श्रेणीको लागि लक्ष्य गर्न चाहन्छु।,ネパール語,N2
15,満足,まんぞく,सन्तुष्टि,सन्तुष्टि,राज्य,शैली,सन्तुष्टि,"今の仕事に満足していないので,転職したい",म यो कामबाट सन्तुष्ट छैन त्यसैले म जागिर परिवर्तन गर्न चाहन्छु।,ネパール語,N2
16,敬う,うやまう,सम्मान,विश्राम,सम्मान,सहि,सम्मान,目上の人を心から敬う,आफ्नो वरिष्ठ व्यक्तिलाई इमानदारीपूर्वक आदर गर्नुहोस्।,ネパール語,N2
17,忠告,ちゅうこく,चेतावनी,जित्दै,चेतावनी,प्रतीक्षा गर्दै,चेतावनी,母の忠告は今も役に立っている,मेरी आमाको सल्लाह आज पनि मेरो लागि मूल्यवान छ।,ネパール語,N2
18,文明,ぶんめい,सभ्यता,सिभिल,निश्चित,सभ्यता,सभ्यता,これは世界の文明に関する本だ,यो पुस्तक विश्व सभ्यताको बारेमा हो।,ネパール語,N2
19,暴力,ぼうりょく,हिंसा,हिंसा,आवाज,भोट गर्नुहोस्,हिंसा,"どんな理由があっても,暴力は行けない",हिंसा जेसुकै कारणले गर्दा राम्रो होइन ।,ネパール語,N2
20,紛らわしい,まぎらわしい,भ्रमित,भ्रमित,जारी राख्नुहोस्,सम्पर्क गर्नुहोस्,भ्रमित,N2になると、紛らわしい選択肢し増えてくる.,N2 मा थप भ्रामक विकल्पहरू छन्।,ネパール語,N2
21,離れる,はなれる,छोड,दिनुहोस्,लाइक,छोड,छोड,"ふるさとを離れて,もう5年になる.",मैले आफ्नो गाउँ छोडेको पाँच वर्ष भयो ।,ネパール語,N2
22,住民,じゅうみん,बासिन्दाहरू,भोजनालय,अनुसन्धान,बासिन्दाहरू,बासिन्दाहरू,"新しい施設ができて,住民の生活が変わった.","नयाँ सुविधा निर्माण गरियो, र बासिन्दाहरूको जीवन।",ネパール語,N2
23,下線,かせん,अन्डरलाइन,अन्तर्गत,अन्डरलाइन,अन्तर्गत,अन्डरलाइन,教科書のキーワーにかせんを引く.,पाठ्यपुस्तकमा कुञ्जी शब्दहरू अधोरेखित गर्नुहोस्।,ネパール語,N2
24,夕焼け,ゆうやけ,सूर्यास्त,निश्चित,यस्तो,सूर्यास्त,सूर्यास्त,夕焼けがきれいだ.明日は晴れるだろう.,सूर्यास्त सुन्दर छ .भोलि घाम लाग्ने सम्भावना छ .,ネパール語,N2
25,施設,しせつ,सुविधा,सुविधा,छिटो,निष्पक्ष,सुविधा,"市の新しい施設が,もうすぐできる.",नयाँ सहर सुविधा चाँडै पूरा हुनेछ।,ネパール語,N2
26,結構,けっこうな,राम्रो,रात,कहिल्यै,राम्रो,राम्रो,"結構な物を,ありがとうございました.",यो राम्रो उपहार को लागी धन्यवाद।,ネパール語,N2
27,実,じつに,एकदम,छिटो,प्रश्न,एकदम,एकदम,これは実に不思議な事件だ.,यो एकदमै अनौठो मामला हो।,ネパール語,N2
28,誇り,ほこり,गर्व,मूल्य,गर्व,स्थान,गर्व,自分のふるさとを誇りに思っている.,मलाई मेरो गृहनगरमा गर्व छ।,ネパール語,N2
29,高等,こうとうな,सुपीरियर,सुपर,सुपीरियर,सर्वोच्च,सुपीरियर,日本で高等な技術を学びたい.,म जापानमा उन्नत प्रविधि सिक्न चाहन्छु।,ネパール語,N2
30,横断,おうだん,क्रस,क्रस,रुनुहोस्,क्रश,क्रस,車が行き来する道を横断する時は注意しょう,गाडी चलिरहेको ठाउँबाट बाटो काट्दा होसियार हुनुहोस्।,ネパール語,N2
31,若者,わかもの,युवा,युवा,कृपया,प्रशंसा,युवा,"私の故郷では,若者が減少している.",मेरो गृहनगरमा युवाहरुको संख्या घट्दै गएको छ ।,ネパール語,N2
32,犯罪,はんざい,अपराध,अपराध,क्रस,पागल,अपराध,最近この辺りで犯罪が増えている.,पछिल्लो समय यहाँ अपराध बढ्दै गएको छ ।,ネパール語,N2
33,位置,いち,स्थान,माया,ताला,स्थान,स्थान,スマホで現在の位置を調べる.,म स्मार्टफोन प्रयोग गरेर मेरो हालको स्थान जाँच गर्न सक्छु।,ネパール語,N2
34,残高,ざんだか,सन्तुलन,पछाडि,कालो,सन्तुलन,सन्तुलन,時時銀行の残高をチェックする.,म आवधिक रूपमा मेरो बैंक ब्यालेन्स जाँच गर्छु।,ネパール語,N2
35,試食,ししょく,चाख्दै,लिँदै,चाख्दै,टाइप गर्दै,चाख्दै,デパートで試食してから、お菓子を買った.,मैले तिनीहरूलाई डिपार्टमेन्ट स्टोरमा मरुभूमिको स्वाद लिएर किनें।,ネパール語,N2
36,捜査,そうさ,अनुसन्धान,आमन्त्रण,लगानी गर्नुहोस्,अनुसन्धान,अनुसन्धान,警察が事件を捜査している.,प्रहरीले घटनाको अनुसन्धान गरिरहेको छ ।,ネパール語,N2
37,伝統,でんとう,परम्परा,परम्परा,प्रयास गर्दै,यात्रा गर्दै,परम्परा,"留学をきっかけに,日本の伝統に興味を持った.","विदेशमा अध्ययन गरेपछि, म जापानी परम्पराहरूमा बढी चासो राखेको छु।",ネパール語,N2
38,連想,れんそう,संघ,संघ,आश्वासन दिँदै,अनुमान गर्दै,संघ,この話は5年前の事件を連想させる.,यो कथाले मलाई ५ वर्षअघिको घटनाको सम्झना दिलाउँछ।,ネパール語,N2
39,演説,えんぜつ,भाषण,बोल्नुहोस्,भाषण,बोल्यो,भाषण,選挙の候補者が駅前で演説する.,चुनावका उम्मेदवारहरूले स्टेशन अगाडि भाषण गरिरहेका छन्।,ネパール語,N2
40,思想,しそう,विचारहरू,ती,विचारहरू,बाक्लो,विचारहरू,日本には思想の自由がある.,जापानमा विचारको स्वतन्त्रता छ।,ネパール語,N2
41,特殊,とくしゅ,अद्वितीय,एकाइ,विश्वविद्यालय,अद्वितीय,अद्वितीय,この仕事には特殊な能力が必要だ.,तपाईलाई यो कामको लागि विशेष प्रतिभा चाहिन्छ।,ネパール語,N2
42,契約,けいやく,सम्झौता,नियन्त्रण,देश,सम्झौता,सम्झौता,"希望していた会社と契約できて,うれしい.",आफूले चाहेको कम्पनीसँग सम्झौता गर्न पाएकोमा म खुसी छु।,ネパール語,N2
43,作物,さくもつ,उत्पादन गर्न,समस्या,उत्पादन,उत्पादन गर्न,उत्पादन गर्न,"農家の人達は愛情を込めて,作物を育てている.",किसानहरूले आफ्नो बालीलाई ध्यान दिएर हेरचाह गर्छन्।,ネパール語,N2
44,謙そん,けんそん,नम्र,मानव,नम्र,हतार गर्नुहोस्,नम्र,日本には謙そんの文化がある.,जापानमा नम्र हुने संस्कृति छ।,ネパール語,N2
45,素朴,そぼく,सरल,बस,देखि,सरल,सरल,"彼は昔から派手なことが嫌いで,素朴な性格だ.",उहाँ सधैं एक साधारण व्यक्ति हुनुहुन्थ्यो जसले बेकार चीजहरू मनपर्दैन।,ネパール語,N2
46,植物,しょくぶつ,बिरुवा,बिरुवा,खेल्नु,बिन्दु,बिरुवा,庭でいろいろな植物を育てている.,म बगैंचामा विभिन्न बिरुवाहरू उब्जाउछु।,ネパール語,N2
47,伝統,でんとう,परम्परा,ट्राफिक,परम्परा,प्रयास गर्नुहोस्,परम्परा,"留学をきっかけに,日本の伝統に興味を持った.",आफूले चाहेको कम्पनीसँग सम्झौता गर्न पाएकोमा म खुसी छु।,ネパール語,N2
48,発想,はっそう,विचारहरू,मूर्ख,पहिचान,विचारहरू,विचारहरू,"こんな発想ができるなんて,彼は天才だ.",उहाँ यस्तो विचार लिएर आउनको लागि प्रतिभाशाली हुनुहुन्छ।,ネパール語,N2
49,組織,そしき,संगठन,संगठन,सुन्तला,ओरिगामी,संगठन,大企業は多くの組織で構成されている.,एउटा प्रमुख निगम धेरै डिभिजनहरू मिलेर बनेको हुन्छ।,ネパール語,N2
50,確実,かくじつ,निश्चित रूपमा,परिभाषा,निश्चित रूपमा,रक्षा,निश्चित रूपमा,"彼なら,合格は確実だと思う.",उसले पक्कै परीक्षा पास गर्नेछ।,ネパール語,N2
51,提供,ていきょう,प्रदान गर्नुहोस्,उत्पादन गर्न,प्रदान गर्नुहोस्,गर्व,प्रदान गर्नुहोस्,役所は生活に必要な情報を提供している.,शहर कार्यालयले यहाँ बस्नको लागि आवश्यक जानकारी प्रदान गर्दछ।,ネパール語,N2
52,地区,ちく,जिल्लाहरू,फरक,छलफल भयो,जिल्लाहरू,जिल्लाहरू,ここは学校や幼稚園が多い地区だ.,जिल्लामा धेरै विद्यालय र किन्डरगार्टन छन्।,ネパール語,N2
53,伝言,でんごん,सन्देश,सन्देश,गडबड गर्दै,मिशन,सन्देश,部長に伝言をお願いできますか.,कृपया प्रबन्धकलाई सन्देश पठाउन सक्नुहुन्छ?,ネパール語,N2
54,権利,けんり,सहि,साँच्चै,सहि,पढ्नुहोस्,सहि,どんな人にも生きる権利がある.,प्रत्येक मानिसलाई बाँच्ने अधिकार छ।,ネパール語,N2
55,天然,てんねん,प्राकृतिक,राष्ट्रिय,मूल निवासी,प्राकृतिक,प्राकृतिक,天然の資源を大事に使う.,प्राकृतिक श्रोत साधनको सदुपयोग गरौ ।,ネパール語,N2
56,底,そこ,तल,बोतल,दुबै,तल,तल,"この海は透明で,底まで見えるそうだ.",समुद्र यति सफा छ कि मलाई लाग्छ कि म समुद्रको भुइँमा सबै बाटो देख्न सक्छु।,ネパール語,N2
57,災害,さいがい,प्रकोप,प्रकोप,छलफल भयो,छुट,प्रकोप,常に災害に備えておくことが大切だ.,विपद्को लागि सधैं तयार रहनु महत्त्वपूर्ण छ।,ネパール語,N2
58,評価,ひょうか,मूल्याङ्कन,मूल्याङ्कन गर्नुहोस्,इभान,मूल्याङ्कन,मूल्याङ्कन,この監督の映画は海外で評価が高い.,निर्देशकका चलचित्रले विदेशमा राम्रो प्रतिक्रिया पाइरहेका छन् ।,ネパール語,N2
59,呼吸,こきゅう,सास,रोटी,सास,पुल,सास,寝ている間に呼吸が止まることがあるらしい.,"स्पष्ट रूपमा, सुत्दा सास फेर्न रोक्न सम्भव छ।",ネパール語,N2
60,無難,ぶなん,पास गर्न सकिने,पास गर्न सकिने,बाटो,यात्रु,पास गर्न सकिने,彼の答えは、いつも無難だ.,उसको जवाफ सधैं मननीय हुन्छ।,ネパール語,N2
61,妊娠,にんしん,गर्भावस्था,अभ्यास गर्नुहोस्,प्रार्थना गर्दै,गर्भावस्था,गर्भावस्था,妹はにんしん3か月だ.,मेरी कान्छी बहिनी तीन महिनाको गर्भवती छिन्।,ネパール語,N2
62,冷静,れいせい,शान्त,कल गर्नुहोस्,शान्त,हेरचाह,शान्त,"彼女は何があっても,冷静に対応する.",उनी जहिले पनि शान्त भएर जे भए पनि जवाफ दिन्छिन्।,ネパール語,N2
63,世間,せけん,समाज,समाज,माफ गर्नुहोस्,माटो,समाज,ある事件が世間の注目を集めている.,एउटा विशेष घटनाले समाजको ध्यानाकर्षण भइरहेको छ ।,ネパール語,N2
64,大臣,だいじん,मन्त्री,न्यूनतम,मन्त्री,हुन सक्छ,मन्त्री,お金の問題で大臣が交替した.,आर्थिक घोटालाका कारण मन्त्री बदलिएको हो ।,ネパール語,N2
65,足元,あしもと,फुटिङ,खाना,फुटबल,फुटिङ,फुटिङ,"彼は足元のおしゃれにも,こだわっている.",उनी जुत्ता फेसनमा विशेष छन् ।,ネパール語,N2
66,延長,えんちょう,विस्तार,विस्तार,बाहेक,अतिरिक्त,विस्तार,"同点で試合は,延長になった.",टोलीको समान स्कोर भएकाले खेल विस्तार गरिएको थियो।,ネパール語,N2
67,提案,ていあん,सुझाव,चिनी,स्कोर,सुझाव,सुझाव,地元の産業を生かした商品を提案する.,म स्थानीय उद्योगहरूको फाइदा उठाउने उत्पादनको सुझाव दिन्छु।,ネパール語,N2
68,公共,こうきょう,सार्वजनिक,प्रहरी,सार्वजनिक,राजनीतिक,सार्वजनिक,バスも電車も公共の交通手段だ.,बस र रेल दुबै सार्वजनिक यातायात हुन्।,ネパール語,N2
69,年金,ねんきん,पेन्सन,पेन्सिल,विचाराधीन,पेन्सन,पेन्सन,国民は国に年金保険料を納めている.,नागरिकहरूले राष्ट्रलाई पेन्सन प्रिमियम तिर्छन्।,ネパール語,N2
70,泥,どろ,माटो,गर्नुपर्छ,माटो,धेरै,माटो,"靴についた泥が,なかなか落ちない.",जुत्ताको फोहोर सजिलै झर्दैन ।,ネパール語,N2
71,肌,はだ,छाला,सीप,छोड्नुहोस्,छाला,छाला,冬は肌が乾燥しやすい.,जाडोमा मेरो छाला सजिलै सुक्छ।,ネパール語,N2
72,看病,かんびょう,नर्सिङ,नर्सिङ,नट,कोलाहल,नर्सिङ,"風をひいて,彼に看病してもらった.","मलाई चिसो लाग्यो, र उसले मेरो हेरचाह गर्यो।",ネパール語,N2
73,思想,しそう,विचार,ती,विचार,हजार,विचार,日本は思想の自由がある.,जापानमा विचारको स्वतन्त्रता छ।,ネパール語,N2
74,不足,ふそく,अभाव,भाग्य,हेर,अभाव,अभाव,ビタミンが不足しているようだ.,मलाई भिटामिनको कमी छ जस्तो लाग्यो।,ネパール語,N2
75,芽,め,बड,बड,किन्नुहोस्,बाइ,बड,"春が訪れて,花の芽が出た.",वसन्तको आगमनसँगै फूलका कोपिलाहरू देखा पर्छन् ।,ネパール語,N2
76,失望,しつぼう,निराश,असन्तुष्ट,निराश,विघटन,निराश,友達のひきょうなやり方に心から失望した.,म साँच्चै निराश छु कायर साथीहरूबाट।,ネパール語,N2
77,豪華,ごうか,विलासी,भाग्य,रेचक,विलासी,विलासी,世界を巡る豪華な船旅をしてみたい.,म जहाजको रूपमा संसारभरि विलासी यात्रा गर्न चाहन्छु।,ネパール語,N2
78,休息,きゅうそく,विश्राम,विश्राम,सहि,नियमित,विश्राम,休みの日は休息のために使う.,विश्राम दिनको छुट्टी प्रयोग गर्नुहोस्।,ネパール語,N2
79,生物,せいぶつ,जीव,संगठित गर्नुहोस्,जैविक,जीव,जीव,研究者が森林で生物に関する調査を行う.,अन्वेषकहरूले जंगलमा जीवनको प्रकारको अनुसन्धान गर्छन्।,ネパール語,N2
80,神話,しんわ,मिथक,पौराणिक,मिलाउनुहोस्,मिथक,मिथक,"この本を読んだら,神話の世界に夢中だ.","यो पुस्तक पढेदेखि, म पौराणिक संसारको बारेमा पागल भएको छु।",ネパール語,N2
81,救助,きゅうじょ,उद्धार गर्नु,उद्धार गर्नु,पुन: सुरु गर्नुहोस्,विश्राम,उद्धार गर्नु,"事故の被害者は,すぐに救助された.",दुर्घटनामा परी घाइते भएकाको तत्काल उद्धार गरिएको थियो ।,ネパール語,N2
82,維持,いじ,मर्मतसम्भार,मुख्य रूपमा,मर्मतसम्भार,धातु,मर्मतसम्भार,きれいな肌を維持したい.,म सफा छाला कायम राख्न चाहन्छु।,ネパール語,N2
83,評価,ひょうか,मूल्याङ्कन,मूल्याङ्कन गर्नुहोस्,बेवास्ता गर्ने,मूल्याङ्कन,मूल्याङ्कन,この監督の映画は海外で評価が高い.,यस निर्देशकका चलचित्रले विदेशमा राम्रो प्रतिक्रिया पाइरहेका छन् ।,ネパール語,N2
84,人物,じんぶつ,चरित्र,चरित्र,चार्जर,परिवर्तन,चरित्र,"このドラマに登場する人物は,みんなユニックだ.",यो नाटकमा देखिने हरेक पात्र अनौठो छ ।,ネパール語,N2
85,不調,ふちょう,असफल,निष्पक्ष,असफल,परी,असफल,"体の不調を感じたら,すぐに病院に行く.",केही गडबड भएको महसुस गरे तुरुन्तै अस्पताल जान्छु।,ネパール語,N2
86,一般,いっぱん,साधारणतया,सामान्य,साँच्चै,साधारणतया,साधारणतया,"一般に,男性より女性の方が寿命が長い.","सामान्यतया, म भन्दा महिलाको आयु लामो हुन्छ।",ネパール語,N2
87,清潔,せいけつ,सफा,सफा,बन्द गर्नुहोस्,खाली गर्नुहोस्,सफा,このデパートはトイレを清潔に保っている.,यस डिपार्टमेन्ट स्टोरको शौचालय सधैं सफा हुन्छ।,ネパール語,N2
88,映す,うつす,देखाउनु,माफ गर्नुहोस्,देखाउनु,डरलाग्दो,देखाउनु,"鏡に顔を映しながら,笑顔を作る.",ऐनामा आफ्नो अनुहार देखाउँदा मुस्कानबाट।,ネパール語,N2
89,感想,かんそう,छाप,असम्भव,छाप,असम्भव,छाप,あの映画見たの？感想聞かせて.,तपाईंले त्यो चलचित्र हेर्नुभयो? मलाई तपाईंको विचार सुन्नुहोस्।,ネパール語,N2
90,分析,ぶんせき,विश्लेषण,शरीर रचना,शरीर रचना,विश्लेषण,विश्लेषण,"データを分析して,結果をレポートにまとめる.",तथ्याङ्कको विश्लेषण गर्नुहोस् र निष्कर्षहरूको बारेमा रिपोर्ट लेख्नुहोस्।,ネパール語,N2
91,採点,さいてん,ग्रेड,समात्नुहोस्,समात्नुहोस्,ग्रेड,ग्रेड,採点はコンピューターで行われる.,ग्रेडिङ कम्प्युटरबाट हुनेछ।,ネパール語,N2
92,選択,せんたく,चयन,बेच्दै,चयन,खोज्नुहोस्,चयन,"4つの中から一つ選択して,答えましょう.",निम्न चार विकल्पहरू मध्ये एउटा छान्नुहोस्।,ネパール語,N2
93,構成,こうせい,संरचना,संरचना,बलियो,स्ट्रिम,संरचना,"地元の商品を開発するため,チームが構成された.",स्थानीय उत्पादन विकास गर्न टोली गठन गरिएको छ ।,ネパール語,N2
94,通行,つうこう,पास,पास,बिरामी,जोश,पास,この道は車は通行できない.,यो बाटोमा गाडी चल्न सक्दैनन् ।,ネパール語,N2
95,坂,さか,पहाड,उनको,पहाड,हल,पहाड,ここは坂の多い町として知られている.,यो सहर धेरै पहाड भएकाले परिचित छ ।,ネパール語,N2
96,知恵,ちえ,बुद्धि,कामना गर्दै,कामना गर्दै,बुद्धि,बुद्धि,家事には昔の人のちえが生きている.,दैनिक घरायसी कामहरूमा हाम्रा पुर्खाहरूको बुद्धि बस्छ।,ネパール語,N2
97,元,もと,मौलिक,मौलिक,जैविक,अर्डर,मौलिक,使ったものは元の場所に戻って下さい.,कृपया तपाईंले प्रयोग गर्नुभएको कुरा फिर्ता गर्नुहोस् जहाँ यो सम्बन्धित छ।,ネパール語,N2
98,挟む,はさむ,घुसाउनुहोस्,भित्र,घुसाउनुहोस्,सेवन,घुसाउनुहोस्,パンにいろいろな材料を挟む.,म रोटीमा विभिन्न सामग्री स्यान्डविच गर्छु।,ネパール語,N2
99,用心,ようじん,सावधानी,पाठ्यक्रम,पाठ्यक्रम,सावधानी,सावधानी,"一人暮らしなので,いつも用心している.",म एक्लै बस्छु त्यसैले म सधैं सतर्क छु।,ネパール語,N2
100,警備,けいび,सुरक्षा,सुरक्षा,दोस्रो,सिजन,सुरक्षा,このマンションは警備が厳しい.,यो हवेली कडा सुरक्षा छ।,ネパール語,N2
101,こうふく,幸福,खुशी,हुन्छ,यद्यपि,खुसी,खुसी,彼女と出会ってから穏やかで幸福な毎日だ.,उहाँलाई भेटेदेखि मेरो दिनहरू खुशी र आनन्दले भरिएका छन्।,ネパール語,N2
102,けんきょ,けんきょ,हास्य,मानव,हास्य,नम्र,नम्र,私の上司は誰に対しても謙虚だ.,मेरो बुस जो कोही प्रति नम्र छ।,ネパール語,N2
103,休息,きゅうそく,विश्राम,विश्राम,चलाउनुहोस्,सडक,विश्राम,休みの日は休息くのために使う.,दिनको छुट्टी आराम गर्न प्रयोग गर्नुहोस्।,ネパール語,N2
104,伝記,でんき,जीवनी,जीवनी,जन्मदिन,रगत,जीवनी,偉い人の伝記から生き方を学ぶ.,मैले प्रसिद्ध व्यक्तिहरूको जीवनीबाट जीवनको पाठ सिकेको छु।,ネパール語,N2
105,無限,むげん,अनन्तता,मुद्रास्फीति,जानकारी,अनन्तता,अनन्तता,天然資源は無限ではない.,प्राकृतिक स्रोतहरू असीमित रूपमा उपलब्ध छैनन्।,ネパール語,N2
106,訳す,やくす,अनुवाद गर्नुहोस्,परम्परा,अनुवाद गर्नुहोस्,रेल,अनुवाद गर्नुहोस्,"論文を英語に訳して,雑誌で発表する.",कागजलाई अंग्रेजीमा अनुवाद गरी पत्रिकामा प्रस्तुत गरिनेछ।,ネパール語,N2
107,作物,さくもつ,उत्पादन गर्न,सायद,गर्व,उत्पादन गर्न,उत्पादन गर्न,農家の人達は愛情を込めて作物を育てている.,किसानहरूले आफ्नो बालीलाई ध्यान दिएर हेरचाह गर्छन्।,ネパール語,N2
108,栄える,さかえる,समृद्धि,समृद्धि,गर्व,शक्ति,समृद्धि,この島は漁業で栄えている.,यो टापु माछा मार्ने उद्योगबाट समृद्ध छ।,ネパール語,N2
109,一切,いっさい,पूर्ण रूपमा,आज,पूर्ण रूपमा,टावर,पूर्ण रूपमा,私は新聞を一切読まない.,म अखबार पटक्कै पढ्दिन ।,ネパール語,N2
110,特殊,とくしゅ,अद्वितीय,अद्वितीय,विश्वविद्यालय,अन्तर्गत,अद्वितीय,この仕事には特殊能力が必要だ.,तपाईलाई यो कामको लागि विशेष प्रतिभा चाहिन्छ।,ネパール語,N2
